Adres,Cena,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Balkon / ogród / taras,Czynsz,Miejsce parkingowe,Ogrzewanie,Certyfikat energetyczny,Rynek,Typ ogłoszeniodawcy,Dostępne od,Rok budowy,Rodzaj zabudowy,Okna,Winda,Media,Zabezpieczenia,Wyposażenie,Informacje dodatkowe,Materiał budynku,Link
"ul. Skarbka z Gór, Grodzisk, Białołęka, Warszawa, mazowieckie",670 000 zł,48 m²,pełna własność,2,do zamieszkania,2/3,balkon,580 zł,garaż/miejsce parkingowe,miejskie,W trakcie realizacji / Zwolnione,wtórny,prywatny,,2011.0,apartamentowiec,plastikowe,nie,"telewizja kablowa, internet, telefon","teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","klimatyzacja, oddzielna kuchnia",beton,https://www.otodom.pl/pl/oferta/48m2-blisko-centrum-metro-m2-bez-posrednikow-ID4rtvY
"ul. Krasnobrodzka 17, Bródno-Podgrodzie, Targówek, Warszawa, mazowieckie",765 000 zł,47 m²,pełna własność,2,do zamieszkania,7/10,balkon,,,miejskie,,wtórny,prywatny,,,blok,plastikowe,tak,,,"zmywarka, lodówka, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",,https://www.otodom.pl/pl/oferta/po-generalnym-remoncie-niedaleko-metra-ID4qkSd
"ul. Okopowa, Nowolipki, Wola, Warszawa, mazowieckie",920 000 zł,46 m²,pełna własność,3,do zamieszkania,1/10,balkon,,,miejskie,,wtórny,biuro nieruchomości,2024-07-13,1969.0,blok,plastikowe,tak,,domofon / wideofon,"meble, pralka, lodówka, piekarnik, zmywarka, kuchenka",piwnica,,https://www.otodom.pl/pl/oferta/5-minut-do-warsaw-spire-5-minutes-to-warsaw-spire-ID4lzVK
"ul. Grójecka, Stara Ochota, Ochota, Warszawa, mazowieckie",399 900 zł,"18,24 m²",pełna własność,1,do zamieszkania,1/6,,488 zł,,miejskie,W trakcie realizacji / Zwolnione,wtórny,biuro nieruchomości,2024-06-25,1958.0,kamienica,plastikowe,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","lodówka, meble, kuchenka",piwnica,cegła,https://www.otodom.pl/pl/oferta/ksiega-wieczysta-okna-na-podworko-blisko-centrum-ID4rdCi
"ul. ks. Juliana Chrościckiego, Nowe Włochy, Włochy, Warszawa, mazowieckie",1 149 000 zł,"72,49 m²",pełna własność,3,,4/5,balkon,800 zł,garaż/miejsce parkingowe,miejskie,,wtórny,biuro nieruchomości,2024-07-11,2016.0,blok,,nie,,"drzwi / okna antywłamaniowe, domofon / wideofon, teren zamknięty",,pom. użytkowe,,https://www.otodom.pl/pl/oferta/nowe-3-pokoje-w-dzielnicy-wlochy-ID4rv6F
"ul. Groszowicka, Kamionek, Praga-Południe, Warszawa, mazowieckie",660 000 zł,"37,08 m²",pełna własność,2,do zamieszkania,parter/3,,363 zł,,elektryczne,W trakcie realizacji / Zwolnione,wtórny,biuro nieruchomości,2024-07-05,1937.0,kamienica,plastikowe,nie,telewizja kablowa,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",pralka,"piwnica, oddzielna kuchnia",cegła,https://www.otodom.pl/pl/oferta/warszawa-kamienica-vis-a-vis-sadu-rejonowego-ID4ronY
"ul. Kłopot, Powązki, Wola, Warszawa, mazowieckie",1 450 000 zł,"51,25 m²",pełna własność,2,do zamieszkania,8/10,balkon,,,miejskie,,wtórny,biuro nieruchomości,2024-07-13,2019.0,apartamentowiec,drewniane,tak,,"monitoring / ochrona, domofon / wideofon",,,cegła,https://www.otodom.pl/pl/oferta/ul-klopot-1-syp-klopot-st-1br-ID4ak4J
"ul. Skoroszewska 24, Skorosze, Ursus, Warszawa, mazowieckie",796 816 zł,"48,97 m²",pełna własność,2,do zamieszkania,2/6,balkon,"435,88 zł",garaż/miejsce parkingowe,miejskie,W trakcie realizacji / Zwolnione,wtórny,prywatny,,2010.0,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",pom. użytkowe,cegła,https://www.otodom.pl/pl/oferta/dostepne-wysoki-standard-urzadzone-komorka-miejsce-ID4qRaj
"Targówek, ul. Wierna, Osiedle Wilno, Targówek Fabryczny, Targówek, Warszawa, mazowieckie",825 000 zł,"46,6 m²",pełna własność,2,do zamieszkania,1/3,balkon,794 zł,garaż/miejsce parkingowe,miejskie,A,wtórny,prywatny,,2022.0,blok,plastikowe,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, piekarnik, kuchenka",klimatyzacja,pustak,https://www.otodom.pl/pl/oferta/bezposrednio-osiedle-wilno-mieszkanie-46-6m2-ID4rllg
"Optyków, Gocław, Praga-Południe, Warszawa, mazowieckie",1 050 000 zł,"44,69 m²",pełna własność,2,do zamieszkania,4/6,"balkon, taras",550 zł,garaż/miejsce parkingowe,miejskie,A+,wtórny,biuro nieruchomości,,2022.0,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",klimatyzacja,cegła,https://www.otodom.pl/pl/oferta/nowe-elegancko-wykonczone-mieszkanie-z-tarasem-ID4rv6f
