Adres,Cena,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Czynsz,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Winda,Dzielnica,Cena [zł/m²],Balkon,Ogródek,Taras,Miejsce parkingowe/Garaż,Domofon/Wideofon,Teren zamknięty,Monitoring/Ochrona,pralka,lodówka,meble,telewizor,piekarnik,zmywarka,kuchenka,Klimatyzacja
"ul. Skarbka z Gór, Grodzisk, Białołęka, Warszawa, mazowieckie",670000.0,48.0,pełna własność,2,do zamieszkania,2,580.0,miejskie,wtórny,prywatny,2011,apartamentowiec,0,Białołęka,13958.0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"ul. Grójecka, Stara Ochota, Ochota, Warszawa, mazowieckie",399900.0,18.24,pełna własność,1,do zamieszkania,1,488.0,miejskie,wtórny,biuro nieruchomości,1958,kamienica,1,Ochota,21924.0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
"ul. ks. Juliana Chrościckiego, Nowe Włochy, Włochy, Warszawa, mazowieckie",1149000.0,72.49,pełna własność,3,do wykończenia,4,800.0,miejskie,wtórny,biuro nieruchomości,2016,blok,0,Włochy,15850.0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"ul. Groszowicka, Kamionek, Praga-Południe, Warszawa, mazowieckie",660000.0,37.08,pełna własność,2,do zamieszkania,0,363.0,elektryczne,wtórny,biuro nieruchomości,1937,kamienica,0,Praga-Południe,17799.0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
"ul. Skoroszewska 24, Skorosze, Ursus, Warszawa, mazowieckie",796816.0,48.97,pełna własność,2,do zamieszkania,2,435.88,miejskie,wtórny,prywatny,2010,blok,1,Ursus,16272.0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
"Targówek, ul. Wierna, Osiedle Wilno, Targówek Fabryczny, Targówek, Warszawa, mazowieckie",825000.0,46.6,pełna własność,2,do zamieszkania,1,794.0,miejskie,wtórny,prywatny,2022,blok,1,Targówek,17704.0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"Optyków, Gocław, Praga-Południe, Warszawa, mazowieckie",1050000.0,44.69,pełna własność,2,do zamieszkania,4,550.0,miejskie,wtórny,biuro nieruchomości,2022,blok,1,Praga-Południe,23495.0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
"ul. Wojciecha Chrzanowskiego 7, Grochów, Praga-Południe, Warszawa, mazowieckie",789000.0,47.7,pełna własność,2,do zamieszkania,1,780.0,miejskie,wtórny,biuro nieruchomości,1950,kamienica,0,Praga-Południe,16541.0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0
"ul.Bukowińska, Ksawerów, Mokotów, Warszawa, mazowieckie",1060000.0,50.0,pełna własność,2,do zamieszkania,10,800.0,miejskie,wtórny,prywatny,2008,apartamentowiec,1,Mokotów,21200.0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0
"ul. Jana Kochanowskiego, Piaski, Bielany, Warszawa, mazowieckie",924000.0,65.0,pełna własność,3,do zamieszkania,4,1000.0,miejskie,wtórny,biuro nieruchomości,1975,blok,0,Bielany,14215.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"ul. Zapłocie, Powsin, Wilanów, Warszawa, mazowieckie",1900000.0,154.0,pełna własność,4,do zamieszkania,1,600.0,gazowe,wtórny,biuro nieruchomości,2001,apartamentowiec,0,Wilanów,12338.0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0
"ul. Emiliana Konopczyńskiego, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",1900000.0,60.0,pełna własność,2,do zamieszkania,5,880.0,miejskie,wtórny,prywatny,1938,kamienica,1,Śródmieście,31667.0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0
